(c) Die Bundeswahlleiterin, Wiesbaden 2025;
Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);
;
Bundestagswahl 2025;
Vorläufiges Ergebnis;
Nr;Gebiet;gehört zu;Gewählt;Wahlberechtigte;;;;Wählende;;;;Ungültige Stimmen;;;;Gültige Stimmen;;;;Sozialdemokratische Partei Deutschlands;;;;Christlich Demokratische Union Deutschlands;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Christlich-Soziale Union in Bayern e.V.;;;;Die Linke;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Basisdemokratische Partei Deutschland;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Die Gerechtigkeitspartei – Team Todenhöfer;;;;Piratenpartei Deutschland;;;;Volt Deutschland;;;;Ökologisch-Demokratische Partei - Die Naturschutzpartei;;;;Südschleswigscher Wählerverband;;;;Partei für Verjüngungsforschung;;;;Partei der Humanisten - Fakten, Freiheit, Fortschritt;;;;Bündnis C - Christen für Deutschland;;;;Bayernpartei;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Menschliche Welt - für das Wohl und Glücklichsein aller;;;;Partei des Fortschritts;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;Bürgerrechtsbewegung Solidarität;;;;BÜNDNIS DEUTSCHLAND;;;;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;;;;MERA25 - Gemeinsam für Europäische Unabhängigkeit;;;;WerteUnion;;;;Übrige;;;;
153;Leipzig-Land;14;Alternative für Deutschland;210913;212853;210913;212853;172195;162283;172195;162283;1237;2042;1078;1836;170958;160241;171117;160447;18681;31989;15100;34104;42038;39066;38097;32711;6048;8056;7869;9381;4392;15698;5850;18322;65284;39348;65839;38458;;;;;14925;12672;14985;12362;8205;6081;4369;3973;;;1970;3099;;3145;;2403;;3187;714;1743;;;;373;;;219;496;;;825;379;;480;;278;;;;;;;;897;487;;205;175;;;;186;;;;;;;72;87;;;;;;;;;;;;;;;;;;;307;;10898;;14696;;;;;;;;;;;519;;1020;
154;Meißen;14;Alternative für Deutschland;192750;197004;192750;197004;157183;149341;157183;149341;1473;1904;945;1747;155710;147437;156238;147594;11412;22771;11025;26045;37049;32924;31182;25912;6530;7590;7129;8872;8223;13727;5919;17212;70576;45705;68155;43940;;;;;14696;10344;12236;10725;5607;7271;2327;4312;;;1826;2634;;2769;;2341;;3149;674;1754;;;;321;;;248;581;;;825;340;;943;;405;;;;;;;;713;;;111;187;;;;188;;;;;;;53;77;;;;;;;;;;;;;;;;;1617;;663;;;;13865;;;;;;;;;;;244;;1035;
155;Bautzen I;14;Alternative für Deutschland;200548;206895;200548;206895;161811;159233;161811;159233;1596;2098;1181;2145;160215;157135;160630;157088;11385;21006;10375;26674;38642;40929;32190;29213;3483;4090;4691;6247;4199;12634;5002;17187;77339;52492;73914;50050;;;;;15655;14134;12469;12272;8049;5341;3056;4157;;;1922;2951;;2644;;2296;;3398;799;2104;;;;330;;;237;542;;;472;320;;;;251;;;;;;;;957;;;113;171;;;;256;;;;;;;53;69;;;;;;;;;;;;;;;;;1463;;642;;;;14695;;;;;;;;;;;467;;1041;
156;Görlitz;14;Alternative für Deutschland;196271;204105;196271;204105;155052;153057;155052;153057;1280;2234;1118;2064;153772;150823;153934;150993;9626;18928;9814;25441;37197;39299;30406;27630;4659;6182;5159;7358;2951;11222;4484;15039;75145;53970;71854;49123;;;;;9795;11835;11900;11327;3587;4588;2354;3645;;;1960;3259;;4115;;2583;;;678;1428;;;;331;;;249;540;;;440;338;;;;177;;;;;;;;1045;;;139;185;;;;456;;;;;;;62;106;;;;;;;;;;;;;;;;;980;;613;;9832;;13822;;;;;;;;;;;684;;982;
157;Sächsische Schweiz-Osterzgebirge;14;Alternative für Deutschland;195873;199703;195873;199703;160400;154159;160400;154159;1664;2120;983;2005;158736;152039;159417;152154;12765;17505;9505;23545;35961;29176;30820;26028;4751;6830;6318;8023;4477;12920;5170;17814;77899;50203;74174;48580;;;;;14522;15215;11716;11653;7007;8450;2853;5039;;;1774;2864;;3161;;2945;;;617;1276;;;;373;;;229;618;;;822;450;;848;;396;;;;;;;;929;;;128;247;;;;223;;;;;;;49;66;;;;;;;;;;;;;;;;;1354;;621;;;;14621;;;;;;;;;;;7731;;1085;
158;Dresden I;14;Alternative für Deutschland;225103;228643;225103;228643;184922;181120;184922;181120;1857;1577;852;1394;183065;179543;184070;179726;21456;26271;18241;34125;50040;37811;36585;27710;19898;17137;22544;27369;6230;18588;7082;21989;53853;33780;50387;32122;;;;;26086;33872;25444;18910;;;1507;2967;;;1960;3014;;2527;;2645;;3684;1130;2568;;;;769;;2011;451;1313;3482;;2269;928;;1164;;760;;;;;;;;815;;763;234;495;;477;;359;;;;;;227;87;130;;;;;;;;;;;;;;;;;2020;;679;;;;15470;;;;;;;;;;;1231;;738;
159;Dresden II – Bautzen II;14;Alternative für Deutschland;233493;234432;233493;234432;196333;189409;196333;189409;1554;1649;877;1404;194779;187760;195456;188005;18245;28700;16601;30620;47108;35014;35306;26037;22140;25527;25517;31265;5130;20711;6947;22884;58240;34979;55902;36003;;;;;31962;22160;31002;20913;3252;3309;1883;3464;;;2045;3271;;3726;;3661;3145;4292;1412;3252;;;;607;;2694;514;1709;3723;;2142;900;;1054;;641;;;;;;1366;;1099;;;222;424;;;;256;;;;;337;298;102;150;;;;;;;;;;;;;;210;;;1497;;614;;;;15247;;;;;;;;;;;3720;;849;
160;Mittelsachsen;14;Alternative für Deutschland;187924;193828;187924;193828;148354;147733;148354;147733;1329;2005;868;1741;147025;145728;147486;145992;13320;25727;11145;27000;39663;34638;30403;25603;3680;5398;5172;6822;4284;14420;4676;16897;66689;48725;64097;43821;;;;;13233;12164;11800;11687;6156;;2966;3206;;;1525;2860;;3397;;2446;;;561;1366;;;;292;;;182;514;;;575;336;;1259;;549;;;;;;;;774;;;146;246;;;;281;;;;;;;43;86;;;;;;;;;;;;;;;;;;;275;;;;13920;;;;;;;;;;;0;;1206;
161;Chemnitz;14;Alternative für Deutschland;183295;188691;183295;188691;144921;140700;144921;140700;777;1371;695;1121;144144;139329;144226;139579;24106;34958;16006;32616;30849;25801;28020;20713;6562;9934;9571;12680;3316;13934;4522;15781;46418;30502;47095;30089;;;;;14354;15229;17643;15008;2066;;1402;1997;;;1816;2620;;2492;;2097;1510;3997;912;2280;;;;311;;;206;440;845;;802;346;;679;;359;;;;;;;;609;365;;213;296;;;;378;;;;;;;73;90;;;;;;;;;;;;;;;;;555;;442;;13198;;15503;;;;;;;;;;;1803;;869;
162;Chemnitzer Umland – Erzgebirgskreis II;14;Alternative für Deutschland;171911;177211;171911;177211;140053;137423;140053;137423;1874;1664;846;1441;138179;135759;139207;135982;16137;23181;11899;27518;38302;32111;29537;24662;3827;5617;4523;6138;4654;11872;4416;15117;61030;39264;57241;37181;;;;;14229;11330;10864;11166;;6642;2814;4477;;;1605;2527;;2213;;1816;;2724;581;1664;;;;266;;;179;362;;;450;160;;805;;381;;;;;;;;581;;;126;171;;;;708;;;;;;;32;52;;;;;;;;;;;;;;;;;;;392;;;;14548;;;;;;;;;;;0;;1035;
163;Erzgebirgskreis I;14;Alternative für Deutschland;202995;210941;202995;210941;164324;161756;164324;161756;1683;2261;1508;2121;162641;159495;162816;159635;10741;23650;10739;28848;40717;40550;33585;31340;2597;4001;3646;5194;3590;11914;4797;16210;75867;50571;75154;48794;;;;;11122;12787;11359;12078;5545;8210;3780;5079;;;1897;2966;;2313;;1958;;2422;574;1650;;;;323;;;177;397;;;392;248;;;;256;;;;;;;;673;;;102;150;;2069;;1940;;;;;;;53;58;;;;;;;;;;;;;;;;;;;530;;10287;;16031;;;;;;;;;;2175;1008;;1473;
164;Zwickau;14;Alternative für Deutschland;189565;197831;189565;197831;150837;147142;150837;147142;1202;1854;968;1596;149635;145288;149869;145546;14837;24094;13376;30718;35428;30798;31806;27024;3485;5988;4910;7134;4356;13991;4571;15431;59722;37135;60791;36601;;;;;11212;22583;12799;13629;4712;6105;2568;4004;;;1764;3093;;3975;;2720;1773;;831;1483;;;;244;;;159;463;;;498;191;;474;;310;;;;;;;;579;;;88;133;;;;679;;;;;145;;81;92;;;;;;;;;;;;;;;;;458;;369;;13507;;15258;;;;;;;;;;;145;;1018;
165;Vogtlandkreis;14;Alternative für Deutschland;177440;184973;177440;184973;141582;137816;141582;137816;1593;2065;864;1673;139989;135751;140718;136143;13974;26413;12383;30436;37770;37637;30407;26782;4524;6378;4436;6263;3412;11512;4092;13708;60676;36388;57140;34112;;;;;13335;12655;10937;12058;6298;;2346;2155;;;1770;3181;;2339;;2048;;;679;1676;;;;248;;;162;340;;;352;191;;970;;364;;;;;;;;652;;;88;157;;;;779;;;;;;;64;73;;;;;;;;;;;;;;;;;;;309;;;;15553;;;;;;;;;;;1459;;920;
14;Sachsen;99;;3184219;3253667;3184219;3253667;2584784;2488954;2584784;2488954;22104;29375;15321;26057;2562680;2459579;2569463;2462897;247320;410769;217155;474804;612716;546282;507168;422879;129024;171384;167256;212320;69713;220062;83495;271166;986035;632881;958363;607044;;;;;326812;282800;290440;230012;71766;66591;40136;56654;;;29738;47939;;45593;;38090;12289;37538;13709;31905;;;;6229;;5628;4021;10433;10765;;14744;6674;;10224;;6056;;;;;;1366;;12052;1259;2232;2474;4003;;2546;;7129;;;;;772;1081;1113;1562;;;;;;;;;;;;;;210;;;11673;;7452;;79561;;232199;;;;;;;;;;2975;22392;;15946;
;
166;Waldeck;06;Christlich Demokratische Union Deutschlands;180475;184073;180475;184073;150103;138130;150103;138130;1662;2140;1393;2087;148441;135990;148710;136043;41883;51613;33994;49064;46166;35734;42778;30392;10559;13581;12718;14775;4863;12062;5921;15288;31701;12536;31359;12899;;;;;8462;4208;9115;4441;4807;3763;2496;2791;;;2152;1946;;1626;;1528;;;658;964;;;;374;;;;452;;;623;223;;;;106;;;;;;;;218;;;119;87;;;;114;;;;;;;38;40;;;;;;;;;;;;;;;;;;;237;;;;6502;;;;;;;;;;;867;;341;
167;Kassel;06;Sozialdemokratische Partei Deutschlands;214132;218474;214132;218474;175151;162809;175151;162809;2057;2213;1558;1980;173094;160596;173593;160829;47903;57919;38770;51812;42003;32765;38984;28183;24335;27744;25224;30348;4734;12966;6238;16448;28122;11348;27359;12141;;;;;20208;9357;21334;10518;2934;2563;1517;1824;;;2363;2346;;2012;;1854;;2876;859;1673;;;;1159;;;;694;2485;;1272;442;;;;175;;;;;;;;215;;;118;180;;299;;217;;;;;370;244;126;133;;;;;;;;;;;;;;;;;;;264;;;;9165;;;;;;;;;;;503;;467;
168;Werra-Meißner – Hersfeld-Rotenburg;06;Christlich Demokratische Union Deutschlands;167770;171886;167770;171886;138613;130905;138613;130905;1651;1865;1432;1879;136962;129040;137181;129026;38010;56383;30447;48579;44170;34527;38981;27867;7357;8032;9947;11595;3326;7135;5247;12807;30924;14204;31856;14899;;;;;7245;3890;8575;4524;3961;3160;2779;2734;;;1743;1776;;1430;;1344;;;594;988;;;;198;;;;343;1367;;954;313;;;;121;;;;;;;;210;;;81;81;;;;204;;;;;;;26;35;;;;;;;;;;;;;;;;;;;227;;;;5724;;;;;;;;;;602;279;;408;
169;Schwalm-Eder;06;–;182432;185944;182432;185944;153583;141494;153583;141494;1854;2240;1538;2323;151729;139254;152045;139171;42943;54792;34060;50100;45653;33443;41681;29913;8704;12360;11875;14089;4330;12234;6169;15422;36357;14380;36109;15047;;;;;7975;3761;8625;4411;5767;4112;3081;3440;;;2270;1996;;1451;;1396;;2024;726;1209;;;;270;;;;504;;;610;215;;;;126;;;;;;;;251;;;91;92;;262;;233;;;;;;;26;15;;;;;;;;;;;;;;;;;;;200;;;;6522;;;;;;;;;;;435;;442;
170;Marburg;06;Sozialdemokratische Partei Deutschlands;179871;181588;179871;181588;152351;141581;152351;141581;1188;1503;970;1312;151163;140078;151381;140269;45774;51630;31104;42098;44013;36528;39797;31042;13738;18709;19597;22347;3481;9334;5910;14789;27634;12591;27522;12558;;;;;11452;6588;16006;8089;2642;2178;1877;1767;;;1690;1863;;2146;;1828;;;651;1178;;;;497;;;;453;1494;;944;434;;;;291;;;;;;;;177;;;115;133;;;;275;;;;;;;32;23;;;;;;;;;;;;;;;;;;;213;;;;5923;;;;;;;;;;935;374;;427;
171;Lahn-Dill;06;Christlich Demokratische Union Deutschlands;203566;206532;203566;206532;166096;153384;166096;153384;1682;2339;1398;1984;164414;151045;164698;151400;39556;49923;31086;44546;56420;45441;49667;37725;11202;13754;14492;16957;4544;12060;6699;17327;37997;15816;37483;17513;;;;;8678;4756;10932;5102;3807;4579;2415;3051;;;2252;2240;;2040;;1946;;2417;1023;1636;;;;720;;;;449;2210;;1178;399;;;;238;;;;;;;;239;;;123;119;;;;524;;;;;;;64;17;;;;;;;;;;;;;;;;;;;277;;;;7007;;;;;;;;;;;259;;652;
172;Gießen;06;Christlich Demokratische Union Deutschlands;215142;217514;215142;217514;178691;161919;178691;161919;1749;2144;1445;2217;176942;159775;177246;159702;49203;48514;33232;44046;53851;47283;47077;36201;15277;21249;21925;26109;4906;12109;7410;17106;33549;14496;33917;14836;;;;;12442;6339;17359;8028;5121;4595;3043;3697;;;2199;2301;;1954;;1892;;3003;1079;1818;;;;632;;;;555;2593;;1547;898;;;;251;;;;;;;;216;;;210;211;;;;251;;;;;;;75;34;;;;;;;;;;;;;;;;;;;284;;;;7889;;;;;;;;;;;233;;620;
173;Fulda;06;Christlich Demokratische Union Deutschlands;206544;208542;206544;208542;174967;163560;174967;163560;1471;1895;1285;1856;173496;161665;173682;161704;23675;35168;22299;36343;75039;61573;65247;50312;11460;13833;13195;16324;5969;13894;8517;20528;39789;24508;40952;21443;;;;;7254;4648;9085;4447;6101;4442;3951;3136;;;1649;2007;;2619;;2458;1608;;789;1326;;;;399;;;;442;1901;;1262;961;;;;189;;;;;;;;231;;;115;130;;460;;468;;;;;;;22;20;;;;;;;;;;;;;;;;;700;;356;;;;6243;;;;;;;;;;;520;;540;
174;Main-Kinzig – Wetterau II – Schotten;06;Christlich Demokratische Union Deutschlands;175443;178307;175443;178307;146919;137070;146919;137070;1616;2186;1295;2033;145303;134884;145624;135037;29795;41160;23746;36943;49613;37118;44475;32685;10739;12691;12820;15009;4755;15098;6777;17046;36229;17586;36169;17079;;;;;7063;4078;8356;4308;4510;4939;2769;3435;;;2194;2579;;2214;;1873;;;793;1255;;;;356;;;;584;1722;;978;452;;;;137;;;;;;;;263;;;101;124;;;;146;;;;;;;37;25;;;;;;;;;;;;;;;;;877;;364;;;;6045;;;;;;;;;;;0;;738;
175;Hochtaunus;06;Christlich Demokratische Union Deutschlands;178433;179842;178433;179842;152705;144012;152705;144012;1346;1556;1001;1330;151359;142456;151704;142682;29458;38424;25252;35171;57261;44549;50934;37331;18418;21769;19814;22486;7275;16132;9963;21996;25045;10709;24855;11156;;;;;8108;3772;9353;4441;3299;3369;1828;2246;;;1772;2026;;2347;;1880;;;630;1053;;;;533;;1385;;739;2495;;1291;594;;;;127;;;;;;;;200;;;120;148;;;;113;;;;;;;31;12;;;;;;;;;;;;;;;;;;;216;;;;5645;;;;;;;;;;;0;;430;
176;Wetterau I;06;Christlich Demokratische Union Deutschlands;176890;176897;176890;176897;149797;138935;149797;138935;1442;2010;1164;1678;148355;136925;148633;137257;38192;40618;26144;35909;49929;38807;45704;32419;14407;18996;19686;21917;5766;15000;7963;19043;25930;11318;25828;11680;;;;;7726;3904;10598;4905;3830;4238;2377;2812;;;1990;2255;;2411;;1915;;;824;1153;;;;637;;1633;;771;2575;;1425;559;;;;145;;;;;;;;230;;;130;139;;;;114;;;;;;;29;22;;;;;;;;;;;;;;;;;;;221;;;;5714;;;;;;;;;;;0;;632;
177;Rheingau-Taunus – Limburg;06;Christlich Demokratische Union Deutschlands;217091;220466;217091;220466;182786;172247;182786;172247;1725;2267;1208;1765;181061;169980;181578;170482;40099;48441;30839;43708;66650;51318;60697;44413;19472;24418;22142;25328;7660;18126;10177;23745;31376;13547;31944;14523;;;;;9026;4563;11453;5395;3890;6103;2174;3466;;;2363;2772;;2671;;2386;;;915;1357;;;;546;;;;661;2888;;1646;830;;;;159;;;;;;;;245;;;148;186;;332;;220;;;;;;;38;24;;;;;;;;;;;;;;;;;;;311;;;;6731;;;;;;;;;;;461;;518;
178;Wiesbaden;06;Christlich Demokratische Union Deutschlands;186038;186735;186038;186735;148191;136214;148191;136214;1431;1607;984;1348;146760;134607;147207;134866;32698;34750;25711;33546;44994;35375;39189;28523;21876;25811;23494;26818;5944;13995;8234;18947;20405;9192;20737;9588;;;;;15412;6652;16942;7128;2316;1602;1244;1411;;;1506;1651;;2327;;1911;;1559;692;1049;;;;1367;;742;;525;3115;1904;1772;1324;;;;139;;;;;;;;152;;472;173;252;;;;112;;;;;;;61;34;;;;;;;;;;;;;;123;;;;;203;;;;7249;;;;;;;;;;;103;;389;
179;Hanau;06;Christlich Demokratische Union Deutschlands;175251;176271;175251;176271;143473;131412;143473;131412;1578;2036;1218;1760;141895;129376;142255;129652;35907;40291;26049;35739;45343;36019;40879;29223;12133;15995;15483;18258;5153;13106;7024;17158;27152;13364;27407;13257;;;;;10768;4462;12169;4948;3339;3308;1714;2180;;;2071;2504;;1998;;1549;;;733;1186;;;;1349;;;;555;2100;;1222;535;;;;150;;;;;;;;254;;;119;177;;;;85;;;;;;;44;32;;;;;;;;;;;;;;;;;;;233;;;;7108;;;;;;;;;;;833;;513;
180;Main-Taunus;06;Christlich Demokratische Union Deutschlands;193390;195514;193390;195514;165897;157718;165897;157718;1344;1782;1044;1437;164553;155936;164853;156281;29237;35493;25838;34468;65485;51985;57903;42260;23001;26373;23886;26771;8846;20295;12190;26335;21541;10588;21890;10427;;;;;9861;4272;10899;4708;2962;4179;1661;2471;;;1655;2042;;;;1871;;2751;698;1253;;;;1143;;;;510;2691;;1598;1012;;;;163;;;;;;;;209;;;132;154;;;;93;;;;;;;52;31;;;;;;;;;;;;;;;;;929;;418;;;;6033;;;;;;;;;;;0;;360;
181;Frankfurt am Main I;06;–;203423;201216;203423;201216;160181;145010;160181;145010;1547;1507;1159;1247;158634;143503;159022;143763;40832;41604;27190;32499;41232;31163;37384;25915;25758;26922;28697;33821;7418;16369;10541;21361;17067;7909;17092;7846;;;;;20329;12562;24476;10384;1465;2094;856;1184;;;1370;1716;;2052;;1597;1693;;801;1389;;;;2496;;;;645;2517;2685;1892;1734;;;;118;;;;;;;;179;;;156;210;;;;133;;;;;323;143;103;72;;;;;;;;;;;;;;;;;;;190;;;;8274;;;;;;;;;;;0;;464;
182;Frankfurt am Main II;06;–;231104;227207;231104;227207;191699;175004;191699;175004;1489;1752;1119;1353;190210;173252;190580;173651;35099;40431;32775;38777;52042;38995;47486;31660;50303;50230;39503;44370;8768;19766;12532;25530;17451;7990;17799;8188;;;;;18794;10629;25783;11901;1501;2478;961;1512;;;1411;1754;;2547;;1923;1849;;976;1565;;;;1965;;;;686;3207;;2351;2674;;;;128;;;;;;;;190;;;225;190;;;;134;;;;;224;186;67;48;;;;;;;;;;;;;;;;;532;;298;;;;8413;;;;;;;;;;440;0;;456;
183;Groß-Gerau;06;–;172337;174082;172337;174082;140681;129261;140681;129261;1682;1925;1252;1677;138999;127336;139429;127584;40121;42598;27978;37973;42181;35334;37903;27301;11195;14890;15832;18928;4667;10726;6266;14999;22817;10880;23606;11246;;;;;12390;5047;13876;5394;3442;3470;1816;2478;;;1940;2163;;1834;;1462;;2430;816;1387;;;;1998;;;;545;1896;;1073;469;;;;137;;;;;;;;214;;;142;175;;;;157;;;;;290;127;84;81;;;;;;;;;;;;;;;;;;;209;;;;7888;;;;;;;;;;;0;;477;
184;Offenbach;06;Christlich Demokratische Union Deutschlands;218352;219511;218352;219511;174370;158052;174370;158052;1852;2331;1407;2238;172518;155721;172963;155814;38383;41035;30178;38799;53812;43347;47974;35754;25416;26229;22646;27062;6606;14828;9360;20625;26300;11851;26232;12098;;;;;17842;7497;19893;7787;4159;3733;1839;2336;;;2218;2242;;2481;;2178;;2029;858;1380;;;;2429;;1157;;849;;1534;1539;1178;;;;128;;;;;;;;225;;;147;163;;;;96;;;;;;;67;26;;;;;;;;;;;;;;;;;;;243;;;;9769;;;;;;;;;;;0;;459;
185;Darmstadt;06;–;239490;240763;239490;240763;203008;188916;203008;188916;1748;2462;1274;1888;201260;186454;201734;187028;42398;51046;37368;49273;53801;42351;48719;34472;43629;44364;38495;41948;6626;17192;9664;22256;27391;11210;27443;12194;;;;;15384;9332;22541;10764;2038;3237;1388;2139;2772;;2246;2626;;3129;;2679;1855;3680;1142;1984;;;;1450;;;;846;5122;;3115;2583;;;;302;;;;;;;;226;;;249;292;;;;351;;;;;244;269;86;107;;;;;;;;;;;;;;;;;;;287;;;;8991;;;;;;;;;;;644;;536;
186;Odenwald;06;Christlich Demokratische Union Deutschlands;230672;233901;230672;233901;194828;179830;194828;179830;2196;3020;1612;2704;192632;176810;193216;177126;47730;57172;35037;49518;65469;49367;59337;42857;17328;21630;21757;24694;6825;17110;9539;22433;35565;14963;36239;15983;;;;;11705;5991;13739;6333;5264;5003;2736;3322;;;2982;3213;;3699;;3171;;;1022;1545;;;;846;;;;727;2746;1602;1738;948;;;;202;;;;;;;;289;;;143;155;;;;196;;;;;;;66;57;;;;;;;;;;;;;;;;;;;302;;;;8579;;;;;;;;;;;273;;637;
187;Bergstraße;06;Christlich Demokratische Union Deutschlands;195418;197782;195418;197782;164913;153176;164913;153176;1705;1926;1264;1733;163208;151250;163649;151443;34229;41124;28439;41124;59212;46125;51097;37064;14917;20955;18345;21457;6289;16175;8475;20432;33330;14351;32973;14377;;;;;8813;4149;9970;4629;3651;4287;2060;2723;;;2477;3029;;2748;;2465;;;836;1221;;;;533;;;;617;2767;;1503;491;;;;151;;;;;;;;258;;;139;153;;;;176;;;;;;;49;18;;;;;;;;;;;;;;;;;;;273;;;;7013;;;;;;;;;;;1336;;525;
06;Hessen;99;;4343264;4383047;4343264;4383047;3609003;3340639;3609003;3340639;36015;44706;28020;39829;3572988;3295933;3580983;3300810;843125;1000129;657536;910035;1154339;909147;1033893;753512;411224;480535;451573;521411;128751;315712;180816;421621;633672;285337;636771;290978;;;;;256937;130457;311079;142585;80806;81432;46582;56155;2772;;44513;49047;;47736;;43106;7005;22769;18115;29569;;;;21897;;4917;;13152;47891;7725;31533;19268;;;;3683;;;;;;;;4891;;472;3096;3551;;1353;;4412;;;;;1451;969;1223;906;;;;;;;;;;;;;;123;;;3038;;5826;;;;158427;;;;;;;;;;1977;7120;;11031;
;
188;Eichsfeld – Nordhausen – Kyffhäuserkreis;16;Alternative für Deutschland;206488;213593;206488;213593;165874;158017;165874;158017;1357;2041;1175;1852;164517;155976;164699;156165;14360;34589;14096;37879;45730;41974;38444;34804;3000;6019;4425;7334;3818;10622;4877;14099;65025;35349;64144;35028;;;;;19528;16784;21894;15357;;4112;1702;2936;;;;2070;;2173;;2025;;3113;;1696;;;;214;;;;492;;;485;280;;871;;495;;;;;;;;;;;;121;;;;;;;;;342;370;174;257;;;;366;;;;;;;;;;;;;;;373;;12714;;14085;;;;;;;;;;;0;;712;
189;Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis;16;Alternative für Deutschland;201182;207877;201182;207877;159953;152584;159953;152584;1305;2062;1249;1850;158648;150522;158704;150734;18894;36150;14825;37766;35936;34040;31218;27107;3882;5329;4733;7311;2345;8595;4052;12854;61093;37462;64059;37005;;;;;16028;17018;20761;15681;3768;5398;2914;3772;;;;2205;;2963;;2513;;2465;;1621;;;;223;;;;549;;;676;337;;545;;290;;;;;;;;;;;;125;;;;;;;;;338;427;264;296;;;;370;;;;;;;;;;;;;;;430;;12823;;14772;;;;;;;;;;3541;130;;709;
190;Jena – Sömmerda – Weimarer Land I;16;Alternative für Deutschland;194207;198697;194207;198697;161207;154163;161207;154163;1110;1912;927;1588;160097;152251;160280;152575;18734;30673;14495;34195;29660;28170;27797;23869;9587;14656;12157;16709;3655;10686;4922;14070;52014;29578;52019;30263;;;;;31246;25741;29919;19505;3413;6018;2236;3712;;;;2108;;2364;;2349;;3816;;2143;;;;342;;;;859;;;1428;723;;;;217;;;;;;;;;;;;238;;;;;;;;;333;341;233;271;;;;318;;;;;;;;;;;;;;;368;;11455;;14706;;;;;;;;;;;208;;684;
191;Gotha – Ilm-Kreis;16;Alternative für Deutschland;184294;190519;184294;190519;147985;142566;147985;142566;1359;1982;1162;1918;146626;140584;146823;140648;14680;33085;12958;33437;29345;25918;25917;21820;4402;6498;5144;8100;2999;9494;3906;12126;60348;37249;59553;36522;;;;;18753;15579;21968;15454;3236;5622;2453;3810;;;;2168;;2435;;2351;;2783;;1791;;;;297;;;;759;;;697;468;;;;162;;;;;;;;;;;;173;;;;;;;;;;411;178;235;;;;405;;;;;;;;;;;;;;;465;;11661;;13584;;;;;;;;;;1202;1510;;570;
192;Erfurt – Weimar – Weimarer Land II;16;Die Linke;214387;217944;214387;217944;176031;166604;176031;166604;1169;1942;1189;1606;174862;164662;174842;164998;13900;40185;18408;39378;28587;28639;30713;23580;5458;19483;15312;21831;3350;12309;5034;15504;46611;27235;46998;26803;;;;;64389;26972;38667;23055;1918;;1760;2162;;;;2777;;4258;;3048;;4932;;2650;;;;465;;;;1203;;;1594;737;;;;298;;;;;;;;;;;;236;;;;;;;;;353;649;276;345;;;;438;;;;;;;;;;;;;;;395;;10296;;15685;;;;;;;;;;;0;;488;
193;Gera – Greiz – Altenburger Land;16;Alternative für Deutschland;220281;229588;220281;229588;173712;168147;173712;168147;1434;2517;1349;2104;172278;165630;172363;166043;18698;36760;13622;36326;34406;33067;30631;27303;3323;6293;4924;7331;3918;14273;5137;16212;77161;48034;74761;46659;;;;;20441;19421;22450;18666;3416;;2276;2433;;;;2903;;2887;;2727;;;;1970;;;;355;;;;706;;;721;369;;;;154;;;;;;;;;;;;176;;;;;;;;;;772;209;475;;;;594;;;;;;;;;;;;;;;669;;10915;;16963;;;;;;;;;;;4123;;684;
194;Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis;16;Alternative für Deutschland;211549;219437;211549;219437;172601;166531;172601;166531;1267;2037;1161;1908;171334;164494;171440;164623;14260;30791;12905;35019;35224;34489;30756;27008;4340;6292;5055;7383;3834;12343;4811;15428;76207;48177;73580;46381;;;;;21113;19968;23080;18489;3943;5143;2822;4079;;;;2510;;2852;;2668;;3526;;2283;;;;374;;;;645;;;773;388;;451;;293;;;;;;;;;;;;152;;;;;;;;;;462;176;338;;;;493;;;;;;;;;;;;;;;470;;12413;;17012;;;;;;;;;;;0;;692;
195;Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg;16;Alternative für Deutschland;219979;230071;219979;230071;176252;171108;176252;171108;1392;2146;1269;1983;174860;168962;174983;169125;18315;56791;14606;42446;33940;37729;30596;27923;2829;3615;4334;7221;4205;10686;4547;13990;73609;35887;75405;44572;;;;;18445;14135;21952;18486;6139;4897;4459;4247;;;;2232;;;;2508;;2247;;1859;;;;231;;1313;;1078;;;632;264;;848;;547;;;;;;;;;;;;136;;;;;;;;;317;443;320;353;;;;416;;;;;;;;;;;;;;;438;;14683;;17694;;;;;;;;;;2378;371;;616;
